session_id,t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
20260712_035305,0.000,fallen,101.1,3,0.396327,107.620728,420.247986,0.256089,,,,,,463.006836,4
20260712_035305,0.106,fallen,96.9,3,0.277425,109.184509,411.405655,0.265394,,,,,,460.795837,4
20260712_035305,0.201,fallen,87.3,3,0.226059,107.794434,343.256165,0.314035,,,,,,452.936707,5
20260712_035305,0.293,fallen,82.6,3,0.335446,106.583618,393.020081,0.271191,,,,,,458.306396,5
20260712_035305,0.381,fallen,80.8,3,0.261703,106.646240,420.312744,0.253731,,,,,,452.883118,4
20260712_035305,0.465,fallen,74.0,3,0.231594,107.651733,357.435410,0.301178,,,,,,452.358215,5
20260712_035305,0.552,fallen,78.1,2,0.316857,106.822083,368.665344,0.289754,,,,,,457.997131,6
20260712_035305,0.639,fallen,79.0,3,0.166232,105.426758,417.536804,0.252497,,,,,,444.597778,4
20260712_035305,0.728,fallen,81.0,2,0.244552,50.963425,309.913177,0.164444,,,,,,284.817078,3
20260712_035305,0.817,fallen,82.1,3,0.222219,106.717773,403.623230,0.264399,,299.412201,,,,445.247833,6
20260712_035305,0.903,fallen,76.8,2,0.341709,108.125488,366.623413,0.294922,,313.775848,,,,456.725464,6
20260712_035305,1.000,fallen,89.3,3,0.293024,107.119263,340.307617,0.314772,,,,,,457.156189,4
20260712_035305,1.085,fallen,75.7,3,0.257596,108.063477,376.186295,0.287261,,321.591980,,,,456.994568,6
20260712_035305,1.173,fallen,80.2,2,0.213922,107.026672,329.212036,0.325100,,,,,,455.118195,4
20260712_035305,1.259,fallen,76.2,3,0.246293,110.311401,335.825073,0.328479,,,,,,461.673859,4
20260712_035305,1.344,fallen,75.6,3,0.172889,108.060608,324.026001,0.333494,,,,,,460.138123,5
20260712_035305,1.428,fallen,74.9,3,0.169711,107.924072,335.697327,0.321492,,,,,,463.032532,4
